Title,Image,Avatar_URL,crvsd,ui_header_link,default,phmbo,phmbo1,dmrsr,dmrsr2,dmrsr3,qwuub_URL,qwuub,tehyy,xcjrc,Rating
"Efficient boarding and on-time departure.
The service on board has room for improvement - there's hardly any choice when it comes to beverages or food. No snacks are provided - and yes, it IS a long flight.
For the hefty price they carge, they can do better.
But at least, the flight left and arrived on time.",https://media-cdn.tripadvisor.com/media/photo-t/1a/ce/8d/7c/904agnesc.jpg,https://www.tripadvisor.com/Profile/904agnesc,904agnesc wrote a review Nov 22,904agnesc,"Zoutleeuw, Belgium",305 contributions,130 helpful votes,Paris - Mahebourg,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729008-r869326520-Air_Mauritius-World.html,On-time flights,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_30
"Before our holiday I had read lots of bad reviews with regard to customer service and was worried what our flight would be like.  All I can say is whole experience was very good.  We found the seats comfortable, pillows and blankets supplied were soft and warm and the small bag handouts containing some useful items a nice touch.  We were lucky the plane was not full so plenty of free seats available which is always a bonus especially on a night flight.We took off around 23.00 and had an evening meal served which was chicken or pasta.  The chicken was tasty, you had a choice of red or white wine, beer or soft drink.  Wine was topped up and then tea or coffee.  Water was offered a couple of times through the night or you could press the overhead call button and someone appeared almost instantly.Breakfast was served in the morning which was also enjoyable.  The cabin crew were all very friendly and it made for a very pleasant flight.  I would have no hesitation to fly with them again.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f4/20/default-avatar-2020-31.jpg,https://www.tripadvisor.com/Profile/lynnwU4437BG,Lynn W wrote a review Nov 18,Lynn W,,3 contributions,,London - Mahebourg,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729008-r868951252-Air_Mauritius-World.html,Unexpectedly impressed,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
"Dear concern, I would like to request regarding refund of my air ticket from nairobi to  mauritius  which I booked  on 28/10/2022 of travel date 30 /10/2022 flight no Air Mauritius MK961 PNR No 6TZ9YB Ticket no 239-9006967314 .I have cancelled the ticket 29 /10/2022  evening and as per the cancellation on the tickets it was written that with the Penalty fees of 12235 rs it will be cancelled and rest amount will be refunded back.So the same message came after cancellation  but till now no refund money recieved yet.kindly do the needful as soon as possible.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/7c/01/default-avatar-2020-5.jpg,https://www.tripadvisor.com/Profile/neerajsU3922MP,Neeraj wrote a review Nov 14,Neeraj,,1 contribution,1 helpful vote,Nairobi - Mahebourg,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729008-r868468546-Air_Mauritius-World.html,Not yet  refund,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"One of the few airlines where the staff are genuinely friendly and helpful
And that’s business and economy",https://media-cdn.tripadvisor.com/media/photo-t/1d/ca/64/3b/deluxtraveler.jpg,https://www.tripadvisor.com/Profile/deluxtraveler,Mel Pople wrote a review Nov 6,Mel Pople,Mauritius,158 contributions,130 helpful votes,Mahebourg - Johannesburg,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729008-r867536022-Air_Mauritius-World.html,Lovely airline,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"Excellent Legroom
Excellent Seat comfort
Excellent In-flight Entertainment
Excellent Customer service
Excellent Value for money
Excellent Cleanliness
Excellent Check-in and boarding
Excellent Food and Beverage",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/ef/73/default-avatar-2020-13.jpg,https://www.tripadvisor.com/Profile/239jiveshb,Jivesh B wrote a review Nov 3,Jivesh B,,1 contribution,,Mahebourg - Johannesburg,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729008-r867108552-Air_Mauritius-World.html,Air Mauritius - A beautiful memorable experience,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"Returned from Mauritius on 29th October 2022.
We were a party of 36 and requested we sit in a general area together they charged £50 per couple for the privilege. RIP OFF The quality of this airline is very poor.
Comfort awful
Entertainment non existent no modern films.
Food shocking",https://media-cdn.tripadvisor.com/media/photo-t/01/2e/70/88/avatar009.jpg,https://www.tripadvisor.com/Profile/Barriewelshman,Barriewelshman wrote a review Nov 2,Barriewelshman,Pembrokeshire,26 contributions,26 helpful votes,Mahebourg - London,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729008-r867010641-Air_Mauritius-World.html,Use Emirates instead,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Great flight, friendly staff, excellent inflight entertainment, as airplane food goes, it was above average.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/eb/6d/default-avatar-2020-19.jpg,https://www.tripadvisor.com/Profile/Mumkazzer,Mumkazzer wrote a review Oct 2022,Mumkazzer,,1 contribution,,Johannesburg - Mahebourg,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729008-r866713164-Air_Mauritius-World.html,Great Staff,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"Most horrific experience.All I want to do is add an infant to my current booking. I understand I bought the ticket from Agency and they tried to add my newborn daughter but they replied saying they were unable to do so as Air Mauritius wouldnt allow,m going in circles since 1.5 months and Air Mauritius just wouldnt bother.The ticket has been issued by Air Mauritius & they have full control therefore they should be able to help.The agents keep giving me different version and I am being kicked like a ball.I paid 3400 euro for 3 tickets and they still wont help me.All they could say go to your agent whereby agents is telling me its Air Mauritius.I sent email to customer service in Mauritius and Paris as well but not a single reply. Air Mauritius UK phone line just say wait for next available agent but after 1 hr you are still waiting for ghost agent to answer.Pls do not fly Air Mauritius,They are a joke and i feel ashamed the type of service we are getting from MU office even though being a Mauritian nationality is way below poor.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e9/60/default-avatar-2020-64.jpg,https://www.tripadvisor.com/Profile/A9905QKsonial,Vishwanee L wrote a review Oct 2022,Vishwanee L,,1 contribution,,Dublin - Mahebourg,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729008-r865756508-Air_Mauritius-World.html,Zero customer service,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Very glad and proud of MK staff. Thye are doing a very nice job despite difficult times. Of course there is always room for improvement, and this applies to all.
I have it from many family members, travelling with other companies, that the food and service of Air Mauritius is exceptional...they would change flyer only for this item...it says it all

If you know how to deal with MK staff with respect and politeness you can never be dissatified....they are reflections of ourselves anyway",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/eb/6d/default-avatar-2020-19.jpg,https://www.tripadvisor.com/Profile/Traveler_kb2022,KB wrote a review Oct 2022,KB,,1 contribution,,Saint-Denis - Mahebourg,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729008-r862963997-Air_Mauritius-World.html,Good job despite difficult times! Keep it up ;-),Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
I have book 4 tikets with Agency i got one cancel for my child 6 years old now when i contact air mauritius they told they didn't cancel contact my egency i did again got email that's it's air mauritius i contact airfrance because i have connection flight with them they told me same thing that's air mauritius cancel my child tikets i don't know what to do anymore and i didn't get any update of cancellation nothing at all thank god i was checking on my aap to see how many days left i saw only 3 tikets instead of 4 very bad service i send emails no reply don't know what to do now i can't leave my 6 years old behind on her own,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e7/7b/default-avatar-2020-56.jpg,https://www.tripadvisor.com/Profile/affeezaj,Aisha K wrote a review Sep 2022,Aisha K,"Dublin, Ireland",3 contributions,2 helpful votes,Dublin - Mahebourg,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729008-r861328976-Air_Mauritius-World.html,Holiday,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
