Title,Image,Avatar_URL,crvsd,ui_header_link,default,phmbo,phmbo1,dmrsr,dmrsr2,dmrsr3,qwuub_URL,qwuub,tehyy,xcjrc,Rating
"My wife and I went to Egypt to celebrate our 28th anniversary. We flew Turkish Air 👍 from our home in Miami, FL to Cairo, EG. Within Egypt we booked our flight from Cairo to Luxor and from Luxor to Rome with connection in Cairo on Egyptair👎.

The staff is very rude and they have very poor communication skills. The airline doesn't have much handicap resources. On our trip from Luxor to Cairo international airport we flew on a 737-800 aircraft. Almost at the end of the boarding process, the flight attendant close the forward aircraft door and the aircraft started taxing while passengers were still getting seated.

When we arrived in Cairo for our connection, there were little or no staff help to direct passengers on where to go for their connection. We finally made it to our gate from CAI (Cairo) to FCO (Rome). We were 25mins from take off and nothing was happening at the gate. I walked up to the an male agent at the counter and waiting there for about 8mins and he never once looked at me or attempted to facilitate my question.

I simply walked away after he wouldn't acknowledge me. I also noticed two more passengers walking up to the counter and was treated the same. I will probably never travel on Egyptair in the future. My wife and I travel a lot within the US and international and spend a lot of money on air, hotels and car rental. I hope Egyptair reads these reviews and take take to steps to better improve their services.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/eb/a3/default-avatar-2020-38.jpg,https://www.tripadvisor.com/Profile/Priyarah1,Shiva Raghunanan wrote a review Yesterday,Shiva Raghunanan,,1 contribution,,Luxor - Rome,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729067-r870189458-EGYPTAIR-World.html,Worst Airline Service,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_20
"I was somewhat concerned reading reviews about bad service, lost luggage etc. However reality turned out to be completely different. Yes, the planes and the amenities are not super modern and high tech but both flights departed and arrived on time, luggage was not lost and delivered promptly, the crew was polite, hospitable and helpful, food was plentiful and tasty, and security procedures put in place are commendable. I wouldn’t hesitate to travel with EgyptAir again. Thank you!",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/ea/74/default-avatar-2020-68.jpg,https://www.tripadvisor.com/Profile/Michael_E01,Michael_E01 wrote a review Nov 28,Michael_E01,,63 contributions,62 helpful votes,Cairo - Moscow,International,Business Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729067-r870063536-EGYPTAIR-World.html,No thrills but pretty good,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
"I traveled with them on the Boeing B737-800 from Amman to Cairo ( Flight Number: MS702)
Although the flight was short (about an hour and a half), the level of service on board was more than wonderful, the food on board was very tasty and at the level of five-star service, and although I had recently traveled with Qatar Airways and Cathay Pacific Airlines, I found that the level of food service on board EGYPTAIR is better.
The flight crew was excellent and very nice.
The flight ended with a very smooth landing.",https://media-cdn.tripadvisor.com/media/photo-t/16/64/09/d4/shadi-alkasim.jpg,https://www.tripadvisor.com/Profile/Shadi_Alkasim,Shadi_Alkasim wrote a review Nov 28,Shadi_Alkasim,"Leshan, China",4901 contributions,35 helpful votes,Amman - Cairo,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729067-r870009614-EGYPTAIR-World.html,Perfect Flight,Date of travel: July 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"We unfortunately had no choice but to use this airline to fly back from our honeymoon. We chose to do a layover in Egypt to see the pyramids and we could not be happier to be back home. However there were so many hiccups flying back. The washrooms were filthy and not maintained during the flight. There were passengers smoking in the washroom and no flight attendants enforced the no smoking policy. Then during the 7 hour delay due to fog, we were not offered any food nor water. It wasn’t until a passenger started screaming, did they finally go around offering water.

We were starving during this delay, which was no fault on the airline. However they could have offered food and water. I can’t imagine if I was diabetic. Then when we asked for food, they only gave food to Egyptian passengers. It seems there was some discrimination.

I will never fly with this airline again. Nor visit Egypt again for that matter if it means flying with them.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/ed/7b/default-avatar-2020-6.jpg,https://www.tripadvisor.com/Profile/GMorrisTravelingn,Gary Morris wrote a review Nov 26,Gary Morris,"Richmond Hill, Canada",3 contributions,2 helpful votes,Cairo - Toronto,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729067-r869816242-EGYPTAIR-World.html,Worst airline ever.,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Absolutely appalling cabin crew. I smiled several times at the crew and thanked them when handing out meals, but they never made eye contact or smiled at any time. When I asked if they would like to me to hand over my rubbish, the lady bit my head off, to which I did respond. Even the couple sitting next to me made a comment to me about the surly behaviour.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e8/91/default-avatar-2020-62.jpg,https://www.tripadvisor.com/Profile/Henrykipper,Henrykipper wrote a review Nov 25,Henrykipper,"Fareham, United Kingdom",27 contributions,19 helpful votes,Cairo - London,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729067-r869682042-EGYPTAIR-World.html,Rude Staff,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
Very Rude. The staff are just rude. There are hours long flight delays constantly. Avoid if you can.,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e9/ef/default-avatar-2020-66.jpg,https://www.tripadvisor.com/Profile/janiquec2022,Janique C wrote a review Nov 24,Janique C,,4 contributions,,London - Cairo,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729067-r869577213-EGYPTAIR-World.html,Shockingly Horrendous Customer Service and flight Delays,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
Having experienced EgyptAir and its delays and general disorder upped to Business Class hoping to ameliorate matters. Business Class? Non existent apart from the fare difference. They are standard economy seats and while BA and ITA (avoid!) do the same they block off the centre seat. Not on EgyptAir! It’s just the same as Economy! What a rip off!,https://media-cdn.tripadvisor.com/media/photo-t/01/2e/70/67/avatar045.jpg,https://www.tripadvisor.com/Profile/Leftbanker,Leftbanker wrote a review Nov 21,Leftbanker,"Sydney, Australia",129 contributions,160 helpful votes,Aswan - Cairo,Domestic,Business Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729067-r869307906-EGYPTAIR-World.html,EgyptAir Business Class? Don’t bother.,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"I have flown with Egyptair 19 times before, and I'm very impressed by them! Great meals, great service and clean airplanes! Great landing and take off too!",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e7/fe/default-avatar-2020-58.jpg,https://www.tripadvisor.com/Profile/Yahia_Adham,Yahia Adham wrote a review Nov 21,Yahia Adham,,1 contribution,,Cairo - Medina,International,First Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729067-r869265771-EGYPTAIR-World.html,EGYPTAIR IS THE BEST!,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"This was probably the worst airline I’ve ever flown. Horrible food, plane was so dirty, layover was long af and airport was so poorly maintained. 10 hour flight with barely any movies to watch and no Wi-Fi on board to purchase.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/de/0a/default-avatar-2020-35.jpg,https://www.tripadvisor.com/Profile/samihaai2022,Samiha A I wrote a review Nov 21,Samiha A I,,1 contribution,,New York City - Medina,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729067-r869227284-EGYPTAIR-World.html,Horrible,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Dirty planes (my seat has a piece of chewing gum stuck to the side of the screen), bad service, both flights were late. No alcohol served on board, we were just given water for a 1-hour flight.",https://media-cdn.tripadvisor.com/media/photo-t/08/be/fd/e0/gazap0.jpg,https://www.tripadvisor.com/Profile/Gazap0,Gazap0 wrote a review Nov 12,Gazap0,"Lima, Peru",374 contributions,191 helpful votes,Cairo - Sharm El Sheikh,Domestic,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729067-r868134232-EGYPTAIR-World.html,It is one of the worst earlines on earth,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_20
