Title,Image,Avatar_URL,crvsd,ui_header_link,default,phmbo,phmbo1,dmrsr,dmrsr2,dmrsr3,qwuub_URL,qwuub,tehyy,xcjrc,Rating
"Ethiopian Airlines cancelled my flight 3 weeks before due departure date, for ""unforeseen reasons."" Then, offered to reinstate a seat on a flight a week later, ""subject to availability."" No guarantees given. How could accommodation be booked with such uncertainty ? I opted for a refund, and got only a partial refund, after the travel agent had to repeatedly beg for it.  They cancelled , I did not, and yet still got only part of the ticket price back. A scam that must leave many customers poorer. I will not ever book with this airline again.",https://media-cdn.tripadvisor.com/media/photo-t/27/0f/90/b7/safetravels2019.jpg,https://www.tripadvisor.com/Profile/safetravels2019,Happy Days wrote a review Yesterday,Happy Days,"Durban, South Africa",7 contributions,5 helpful votes,Johannesburg - Athens,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729073-r869856744-Ethiopian_Airlines-World.html,"No full refund, after they cancelled flight.",Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"For starters the plane is old and raggedy and makes a lot of noise. Probably shouldn’t even be allowed to fly. Second all of the flight attendants are rude And honestly i think most of them are racist against anyone non-Ethiopian. 13 hour flight they give you two small cups of beverage and get attitude when you ask for more like it’s coming out of their check. One flight attendant was the only one actually doing her job. Kids were playing in the bathroom and completely ripped the door off, but people were still going in the bathroom and urinating with the door open, not a flight attendant in sight. To be quite honest i wouldn’t have never flown Ethiopian airways if they weren’t a star alliance partner as I’m a gold member with United and my uncle is also on board so i will be reporting this at the next star alliance meeting, as this aircraft or staff doesn’t meet star alliance quality standards I’m sure not their customer service standards. This airlines has more negative reviews than positive. I need everyone going forward to file a formal complaint and make sure to get names as i did, then take it a step further and submit a formal complaint to star alliance, as well as the FAA in regards to some of the safety issues/concerns.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e8/5b/default-avatar-2020-61.jpg,https://www.tripadvisor.com/Profile/Poohmac83,Mike wrote a review Nov 26,Mike,"Ontario, California",6 contributions,4 helpful votes,Chicago - Addis Ababa,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729073-r869815087-Ethiopian_Airlines-World.html,Worst Airline in the world,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"The aircraft from EWR to LFW was very old. This was on 11/15/22. The air frame was creaking throughout the flight, there was water leaking at the main door to the plane and water leaked into the cabin during the flight as well. The seats were very hard and uncomfortable. The plane seemed to be 30 years old. I wonder why it's deemed airworthy. The return trip on 11/20/22 was slightly better, because the aircraft used was an improvement of sorts - no leaks into the cabin and no creaking of the air frame, but the seats were still very hard. I actually have back pain today, 11/26/22, mainly as a result of sitting on  those hard seats for 10+ hours each way. I think Ethiopian has serious issues with the quality and age of it's planes, and they shouldn't mistreat an disrespect passengers going to African destinations by using very old aircraft.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/ea/74/default-avatar-2020-68.jpg,https://www.tripadvisor.com/Profile/128akint,Akin T wrote a review Nov 26,Akin T,,1 contribution,,Newark - Lome,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729073-r869735801-Ethiopian_Airlines-World.html,"Very old aircratts with water leakage into cabin, creaking frame and loose ceiling flaps in the cabin.",Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"I flew from Dulles airport (Washington DC) to Kilimanjaro airport via Addis Ababa, then back to Dulles from Zanzibar via Addis Ababa for a safari and beach vacation in Tanzania. I flew economy on the way there, and business class from Addis Ababa to Dulles on the way back. This is by far the worst airline I've ever flown.

The economy flight from Dulles to Africa: It was 13 hours. The airplane itself was in less-than average condition. My seat did not recline. There was a screaming infant behind me who not only kicked my chair the whole way to Africa but at one point reached over the seat and pulled my hair so hard some of it came out, all while the father laughed. The food was quite bad-gristly beef curry with rice. We were seated at a bulkhead --seats we'd paid an extra $99 for as ""premium"" seats -- and after takeoff a man from a couple of rows behind us came up and stacked one large piece of luggage and one large backpack right in front of me so that I had no leg room. When I complained to him he acted like he didn't understand me and left the bags there. When I told the flight attendant she ignored me and did nothing about it. When it was time for landing and everything was supposed to be stowed up above the flight attendants still did nothing about this luggage and I had to flag one down -- I wasn't going to let these bags that weren't even mine fly in my face and hurt me upon landing. She was very irritated to be bothered but finally told the man he had to move the luggage. He put it in his seat and STOOD IN THE AISLE for landing. Unbelievable. There seemed to be a number of people on the plane who are very unfamiliar with the rules/etiquette of flying. It was very noisy. The plane from Addis Ababa to Kilimanjaro was in a bit better shape, but my tv thing did not work. The food was equally bad. There were no a/c vents above the seats on either flight and it got quite hot. Both flights did leave on time, and boarding processes were smooth -- I'll give them that.

Flights home from Zanzibar to Addis Ababa, and Addis to Dulles: We were in economy class from Zanzibar to Addis Ababa, which made sense as it was a relatively short flight. Bad food, inattentive service, tv in my chair did not work -- again. But got to Addis fairly quickly. Because we had bid on upgrades for the Addis to Dulles flight and gotten the business class tickets we went to the Cloud 9 lounge at the Addis Ababa airport. They printed out our boarding passes for us. The lounge is very large, but it nevertheless got very, very crowded and loud. I went to go into the quiet room to rest for a bit but a young mother had decided to use that room as a playroom for her two very young boys, who were running around, yelling, and playing loud video games -- so much for the quiet room. They did have plentiful free food. Business class on the flight home was much, much better than coach, obviously, but not as nice as business class on other planes. The best feature is that you can get your seat about 97% flat. So I was able to sleep much of the trip home. They give you a pillow, and blanket and a small toiletry kit. That flight is interrupted by a fuel stop in Dublin halfway though, so you will have to wake up with the lights on and sit your seat all the way up. The dinner served shortly after we got on the plane was pretty bad. But the ""lunch ""(inexplicably served at what I think was about 4am Washington DC time as we got close to DC) was traditional Ethiopian food and it was very good. The entertainment center / tv screens are kind of hard to figure out, working them with the remote isn't easy, and they are supposed to be touch screen but the touch screen feature didn't work on mine (didn't work on my husband's either). Again, no air vents on either flight and it got quite hot. I've never been on planes that didn't have those little air vents -- but none of my Ethiopian airplanes had them.

The ""bidding"" process for upgrades was something I wasn't crazy about. You bid on upgrades and when someone outbids you they let you know so that you increase your bid. This went on and on and I imagine they got a lot more money this way -- by basically getting passengers into bidding wars with each other for upgrades.

Now comes the part I'm really irritated about. My bag did not arrive back in the States. My husband's bag did, and mine did not. We filled out a claim at the airport with an Ethiopian Airlines representative in the baggage area. I discover when I get home, after making my lost bag report at the airport, that in order to track my lost bag on their website I was supposed to have been given a property irregularity report (PIR) number -- and I was not given one. I contacted the Dulles Ethiopian Airlines manager by email (the only relevant email I could find on the website) and he forwarded my email to someone else cc'ing me asking them to look into it. I've heard nothing back. I was told my bag would be delivered to my house within 24 hours. It's now been almost 36 and no bag and no email with any information about where it is. I am afraid, especially given the other reviews I see here, that it was likely just stolen rather than lost in transit. So I doubt it is coming.

I will never fly this airline again and very much recommend against it. Not worth it. Find another way to get to your destination in Africa.",https://media-cdn.tripadvisor.com/media/photo-t/04/b1/ee/ad/fand.jpg,https://www.tripadvisor.com/Profile/fand,fand wrote a review Nov 25,fand,"Falls Church, Virginia",242 contributions,131 helpful votes,Washington DC - Kilimanjaro National Park,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729073-r869689870-Ethiopian_Airlines-World.html,Worst Airline I Have Flown,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"We traveled on Saturday 06/11/2022, it was the day of the Ethiopian airline's new route opening from Manchester to Addis-Ababa via Geneva.
The customer service from Ethiopia airline staff at Manchester airport was fantastic.
The staff in the lounge area, the fast track, and inside the flight on the business class cabin were excellent, with great customer service.
We also enjoyed our layover in Addis-Ababa airport, great lounge.
We are planning next time to stop in Addis-Ababa and take the time to visit this wonderful country.
We look forward to traveling with Ethiopia Airlines again.",https://media-cdn.tripadvisor.com/media/photo-t/26/f4/3b/2d/aude-and-lars-m.jpg,https://www.tripadvisor.com/Profile/audeandlars,Aude and Lars wrote a review Nov 21,Aude and Lars,,13 contributions,3 helpful votes,Manchester - Mombasa,International,Business Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729073-r869236713-Ethiopian_Airlines-World.html,Memorable travel with Ethiopian Airline,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"I flew from London to Cape Town in October with Ethiopian Airlines (I took British Airways on the way back since I left from Johannesburg and they had a direct flight) and it was great. I first read a bunch of reviews on Trip Advisor that made me somewhat nervous for the trip, but none of that worry materialized - flying with Ethiopian felt the same as any other major airline.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f2/b8/default-avatar-2020-26.jpg,https://www.tripadvisor.com/Profile/P5529GPbend,Ben D wrote a review Nov 20,Ben D,,2 contributions,,London - Cape Town Central,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729073-r869149934-Ethiopian_Airlines-World.html,"Great trip! No issues at all, would fly with Ethiopian again",Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"The lounge in Stockholm by SAS was OK but nothing to brag about. The aircraft to Adis was a Boeing 787 with fully flat seats and lots of storage space for hand luggage. Food onboard was good with ample choices. The food in the lounge at Adis is really sumptuous. In addition to international dishes it also offers a selection of Ethiopian dishes that were very tasty. Amenities includes silent room for sleeping, showers and massage. The direct flight from Adis to Kigali was replaced by a flight via Burundi. This delayed us by 2 - 3 hours, but we did not mind so much because the flight turned out to also be by a Boeing 787 (instead of the much smaller Airbus that would have normally been used). Furthermore, in the post Covid era we were happy the flight did not get cancelled altogether.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f4/d0/default-avatar-2020-33.jpg,https://www.tripadvisor.com/Profile/Forgot_it_again,Jamila and Eric Anderson wrote a review Nov 20,Jamila and Eric Anderson,,3 contributions,1 helpful vote,Stockholm - Kigali,International,Business Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729073-r869079864-Ethiopian_Airlines-World.html,Good stuff,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"I had travell with Ethipian airlines severas times, always wishing that the same thing that happened to me before will change but it didn't, it was always a big mistake
I travelled long distante with my kids and the 6 times I used ethiopian airlines the tablet o the seat were never working, a trip with a kid  5 years old and one 1 Years old is very hard, they also never gave any playing kit for the kids, I asked man times and they just answerd they don't have. The light on the top was also ON all the trip, on my face 16 hours and it wasn't working as well and of course they couldn't do anything about.
An other time The crew from Buenos Aires to Sao Paulo and the other crew from Sao Paulo to Ethipian were rude, answering in a bad mood, making faces between them and running all time, shouting at ppl... oh God, it was just terrible.
I didn't travell with my husband so I expected some help from the crew but nothing happed, when they saw me carrying my baby and bags and my other daughter scared, they didn't even try to help me with the bags, I needed to ask and the face of the service crew was like I'm busy mum...

The prices are good comparing to other airlines but the services is a disaster!!!",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e3/6a/default-avatar-2020-47.jpg,https://www.tripadvisor.com/Profile/kuticita,kuticita wrote a review Nov 17,kuticita,"Salta, Argentina",4 contributions,,Cairo - Buenos Aires,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729073-r868763868-Ethiopian_Airlines-World.html,Mrs,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_20
"I read a lot of let's call them not so good reviews about Ethiopian. It seemed that once you fly, you're ok, otherwise, contact center sucks, long waiting times in calls and they have problems in managing luggage and complaints. So, we were a bit worry about these flights, as they were part of a much-anticipated holiday. This is how reality looked for us.

Bucharest to Vic Falls and return via Vienna and Addis Ababa. Flights between Vienna and Bucharest on Austrian, all the others operated by Ethiopian, the entire booking on Ethiopian website.
Pro's
Excellent flights, food more than ok on all 4 segments (Vienna to Addis Ababa, Addis Ababa to Vic Falls and return). Efficient on-board service, attentive staff, well-maintained planes (787-9 and 737 max), comfy seats. Luggage on time and in good condition despite being transborded 2 times. A truly 5-star flight experience.
Con's
Although the website and the mobile app are looking good and are quite easy to use, for some reasons, it's impossible to add anything on your booking: meals, seats, ... It's impossible even to change the currency in which the prices are displayed. All these must be done through their contact center. Even a flight change notification must be confirmed via contact center. The good thing is that I waited for less than 1 minute each time I called them before I could speak to an operator. And I called them 3 or 4 times.",https://media-cdn.tripadvisor.com/media/photo-t/07/be/28/1f/catalin-s.jpg,https://www.tripadvisor.com/Profile/550catalins,catalin s wrote a review Nov 16,catalin s,"Craiova, Romania",260 contributions,52 helpful votes,Bucharest - Victoria Falls,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729073-r868755634-Ethiopian_Airlines-World.html,Unexpectedly good,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
Terrible airline. My iPad was stolen on the plane in Addis Ababa. I have them the description of the person that did it and after contacted airline they have not responded after I just requested a report for my insurance. If I could give negative stars I would. Never again will I fly with them. Tried my best to support an African airline but will only us Emirates as they respond to emails and customer service if helpful,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e2/11/default-avatar-2020-41.jpg,https://www.tripadvisor.com/Profile/969wilsonc,Wilson wrote a review Nov 16,Wilson,,1 contribution,,Harare - London,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729073-r868725868-Ethiopian_Airlines-World.html,Worst airline ever,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
