Title,Image,Avatar_URL,crvsd,ui_header_link,default,phmbo,phmbo1,dmrsr,dmrsr2,dmrsr3,qwuub_URL,qwuub,tehyy,xcjrc,Rating
"My return trip was - out on Monday and back on Friday! A seamless flight which kept time during both legs, overseen by efficient, courteous staff. The snacks were fresh. However, there is a need to watch the high sugar and salt content. There was a slight muddle at check-in in Victoria Falls over ticketing, but that was swiftly resolved. A bonus on the trip was flying over the Falls on the way from Victoria Falls- a spectacular sight! Fastjet is a small and efficient airline which makes the round trip worth repeating.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/df/2b/default-avatar-2020-39.jpg,https://www.tripadvisor.com/Profile/Kufunda,Kufunda wrote a review Nov 2022,Kufunda,"Harare, Zimbabwe",355 contributions,118 helpful votes,Harare - Victoria Falls,Domestic,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8728924-r868475952-Fastjet-World.html,Spoilt for choice!,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
So we are frequent flyers with the airline and we  purchased the Best fare they have that includes 2 big suite cases. When we arrive to the check in counter they said we can only take one suite case each and they made us leave the other suitcase at the airport !!! Their incompetent staff at Harare airport said we did not had the suitcase included and we paid 300 dollars each for this!!!. We had a hard time  with this. We found a solution ourselves to get our suitcases back . They did not help us with this! They replied our email after 3 days and never ever said anything! I emailed with you Customer Service agent Melisa.,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/df/2b/default-avatar-2020-39.jpg,https://www.tripadvisor.com/Profile/Marilopez2022,Mari Lopez wrote a review Nov 2022,Mari Lopez,,2 contributions,,Harare - Victoria Falls,Domestic,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8728924-r867524458-Fastjet-World.html,Worst customer service,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Flight FN8001 was on time. Super clean. Staff on board worked like machines. Courteous and efficient. Well on time. Snackbox a delight.
Will use FJ from now on.",https://media-cdn.tripadvisor.com/media/photo-t/12/7d/88/40/noma-n.jpg,https://www.tripadvisor.com/Profile/Noma_Omhle,Noma_Omhle wrote a review Oct 2022,Noma_Omhle,"Goromonzi, Zimbabwe",42 contributions,7 helpful votes,Harare - Victoria Falls,Domestic,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8728924-r863765739-Fastjet-World.html,Straight to the point. Value for money,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"The 10.30 flight to Kruger International airport in South Africa could not take off due to a technical error on plane. A plane and crew were miraculously found approx. 90 mins later (around 12 noon). The light I was booked on at 1 pm to go from Vic Falls to Johannesburg was then reported to have a technical fault at 12.50 pm. That’s two technical faults on two planes … unless you hypothesise that they sent to 1 pm plane bound to Johannesburg to Kruger instead, but that would mean passengers were not told the truth. Ended up leaving Victoria Falls on another plane at 14.10 - almost missed my connecting flight from Johannesburg to Australia. My luggage didn’t make it as Fastjet unable to book luggage through to final destination. Will not be using this company again.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e3/6a/default-avatar-2020-47.jpg,https://www.tripadvisor.com/Profile/L8037CAdavidl,David L wrote a review Sep 2022,David L,,2 contributions,1 helpful vote,Victoria Falls - Johannesburg,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8728924-r860280818-Fastjet-World.html,Unreliable planes - think twice about booking a flight as part of a connection,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"My boss was on the last Fastjet flight for the day and had a connecting flight at ORT to fly to DBN, Fastjet got delayed a bit in Bulawayo. He informed the crew that he has a connecting flight in JHB and cannot miss the flight, else he will have to sleep at the airport. The crew was very understanding and did everything in their power to assist. They let ground staff know at ORT to keep the gate open for him and explained why he will be delayed. When they arrived at ORT, he was allowed to disembark the plane first, a car was waiting for him at the aircraft, they took him straight to passports. He was well on time for his connecting flight! This is really incredible service.  Thank you to the whole crew!",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e4/59/default-avatar-2020-49.jpg,https://www.tripadvisor.com/Profile/AnzelleL09,Anzelle wrote a review Sep 2022,Anzelle,,1 contribution,,Bulawayo - Johannesburg,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8728924-r859048972-Fastjet-World.html,Excellent Service from crew!,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
"Travelled on FAST JET last flight of the day on the 15th Aug. Even though the service was delayed, they made up for in in customer service. The check in staff were very friendly and efficient and when we eventually boarded we had an exceptionally amazing air hostess ( If my memory serves me right her name was Micheala) The pilot was really nice and had a great sense of humour ,always updated the passengers of the delay and was very apologetic. After having having travelled for a long day and a half with terrible staff and crew attitudes on previous airlines, this flight was a breath of fresh air!
Please maintain this level of service Fast Jet and thank you for a pleasant flight back home.....",https://media-cdn.tripadvisor.com/media/photo-t/07/8c/73/e8/paula-c-c.jpg,https://www.tripadvisor.com/Profile/paulaconceicao45,paula conceicao wrote a review Aug 2022,paula conceicao,"Harare, Zimbabwe",90 contributions,45 helpful votes,Johannesburg - Harare,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8728924-r855058053-Fastjet-World.html,Very impressed with staff and flight crew.,Date of travel: August 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
"My husband and I were traveling from Johannesburg to Harare, we got to the airport 3 hours before the time only to wait almost an hour to check in. The staff finally arrive to open up the counters but made the passengers wait another half an hour before proceeding to assist. Fastjet has a promotion where you allowed two checked in bags  however we were told to leave two bags behind on standby and collect them a day later from Harare airport, this type of service is totally unacceptable, don’t advertise something you can’t live up to and please take into consideration having to go through security and immigration .",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/eb/a3/default-avatar-2020-38.jpg,https://www.tripadvisor.com/Profile/805adilam,ADILA m wrote a review Aug 2022,ADILA m,,6 contributions,4 helpful votes,Johannesburg - Harare,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8728924-r853672131-Fastjet-World.html,Terrible service from OR Tambo,Date of travel: July 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_20
"So  I was  booked to  fly from  Johannesburg  to  Harare  on 3  August  2022  at  15.15. I had  purchased the ticket  through Flight  Centre  Rosebank. Today, 4  august, I’m  still in Johannesburg  with no  idea  when or  whether  I will ever  fly on that ticket. I presented myself  at  the Fastjet  checkin  counter  over  2  and  a half  hours  before  departure. I presented to  them  my valid  passport  and  negative  covid test  result, which test  had  been done on 2 August. To  my horror, I was  informed that  I wasn’t  booked on the flight  and  should consult  with the Fastjet  reservation office  which was  conveniently located directly behind  the check initial reception was  courteous. The gentlemen manning  the counter  checked my ticket  and  informed me that  inin  counters. My their  system my ticket  had  been cancelled. I  called  Flight  Centre  Rosebank who  immediately spoke to  the Fastjet folks. I guess  I should note  that  the Fastjet  counter  is  manned by Menzies  staff  who  provide services to  Fastjet. Obviously, the intricacies  of these  relationships  are  lost  on me. As  far  as  I was  concerned I was  dealing  with Fastjet. The conversations  between Fastjet  and  Flight  Centre  Rosebank continued until  boarding  closed and the plane  departed. As  I don’t  live  in  Johannesburg, my next  concer n was  accommodation food and transport  to  get  to  the accommodation.  Around  5pm, I communicated again with Flight  Centre Rosebank who  informed me that  at  that  point  it  was  unlikely that  I would fly that  day, notwithstanding  the fact  that  there  was  a Fastjet flight  leaving  for  Harare  after  6  pm. I shared my concerns  re  accommodation etc  with accommodation etc. They advised that  I check into  a hotel and retain all my receipts. In  the aftermath of  this  mess  they would seek reimbursement  from  Fastjet. Thus, my search for  a hotel began. City Lodge  OR Tambo  and  InterContinental  OR Tambo  were  both fully booked. I  proceeded to  the shuttle parking  lot  and  eventually managed shuttle driver  from  Birchwood Hotel and Conference  centre  to  book the last with the help  of  a room  they had. Note that  the search for  a hotel room  involved walking  around  the airport  for  more  than two  hours dragging  behind  my 30kgs  of  luggage. I woke up this  morning  4  August  uncertain.  Everything  about  this  trip  is  now  uncertain.  By  9.30am  I had spoken to  Flight  Centre  Rosebank who  were  commencing  the second  round in the battle with Fastjet  to  secure  me  a seat  for  a flight  I booked and paid  for  more  than a week ago. I’m  sitting  at  the BC  Café  at  the Birchwood Hotel and Conference  Centre  watching  f lights  landing  at  departing  from OR Tambo. I think its  been over  48  hours  since  I took my  covid test  so  it  may no  longer  be valid  for entry into  Zimbabwe. In  the event  that  Fastjet  succeeds  in  securing  a seat  for  me today, I will  have the worry of  the Covi d test where  to  get  one done. I noticed that  the Dischem  covid testing  station in  OR Tambo  has  been dismantled. I have  kept  receipts  for  the hotel and for  a early dinner  I  had yesterday. While  Flight  Centre Rosebank may fight for  a reimbursement  of  thes e  expenses Fastjet  may refuse  any such request. I got a call from Flight Centre Rosebank notifying me to get to the airport cos i had been waitlisted for the 6pm flight. I took the hotel shuttle and  endured a long wait before being checked in. Fast forward to a couple of hours later.  We landed in Harare to find most of our luggage had been left in joburg. There was much wailing among the passengers some of whom were attending weddings early the next day. Judging by the rows of luggage arranged in different groupings,  i guess, indicating different flights, leaving luggage was the norm. So on 5 August, I went back to the Harare airport at 5pm to collect my luggage.  So what is supposed to be a 1.40 minute flight between Johannesburg and Harare turned out to be a saga starting on 3 August and ending on 5 August. And Fastjet believes I was not sufficiently inconvenienced.  Gonahs@gmail.com",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e8/5b/default-avatar-2020-61.jpg,https://www.tripadvisor.com/Profile/Gomojena1,Gomojena wrote a review Aug 2022,Gomojena,,1 contribution,1 helpful vote,Johannesburg - Harare,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8728924-r852775024-Fastjet-World.html,Not sufficiently inconvenienced,Date of travel: August 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Great  budget airline, lovely snackbox and flight service. Great timetable (flight) options. Improve the Johannesburg office service though..",https://media-cdn.tripadvisor.com/media/photo-t/12/7d/88/40/noma-n.jpg,https://www.tripadvisor.com/Profile/Noma_Omhle,Noma_Omhle wrote a review Jun 2022,Noma_Omhle,"Goromonzi, Zimbabwe",42 contributions,7 helpful votes,Harare - Johannesburg,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8728924-r845491579-Fastjet-World.html,Reliable,Date of travel: June 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
"I just wanted to mention an extraordinary member of staff on the flight from Vic Falls to Harare today. Her name is Mikhala, and she is exceptional! The very best air Stewardess we have ever experienced! Well done Fastjet for empoying such a wonderful person! An all round great flying experience...clean, efficient,  safe, friendly....Thank you!",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/ef/9c/default-avatar-2020-14.jpg,https://www.tripadvisor.com/Profile/Vicfallshomestay,Vicfallshomestay wrote a review Jun 2022,Vicfallshomestay,"Victoria Falls, Zimbabwe",12 contributions,2 helpful votes,Victoria Falls - Harare,Domestic,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8728924-r841058720-Fastjet-World.html,Vic Falls to Harare,Date of travel: June 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
