Title,Image,Avatar_URL,crvsd,ui_header_link,default,phmbo,phmbo1,dmrsr,dmrsr2,dmrsr3,qwuub_URL,qwuub,tehyy,xcjrc,Rating
"I would like to appreciate Lamize Major for going extra mile and assisting me to my flights booking, I booked for 6am and I wanted to change to a later flight and price was too high I couldn't get back to my previous flight online I called 0873570030. She assisted me and she was very patient with me explaining all the terms and conditions with  regards to change of flights an charges involved. Thank you so much Lamize.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f1/b8/default-avatar-2020-22.jpg,https://www.tripadvisor.com/Profile/Nozcelep,Nozipho C wrote a review Nov 2022,Nozipho C,,1 contribution,,Cape Town Central - Durban,Domestic,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d10661141-r869630539-FlySafair-World.html,Lamize Major excellent customer service,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"The Johannesburg-Cape Town route is the busiest in South Africa and I believe in Africa as a whole. Several South African low-cost airlines operate on the route. This, in turn, lowered prices to a completely acceptable level. Having an extremely sad experience with AirLink, I chose this South African low-cost airline with brightly colored planes. This is a kind of South African Ryanair, but somewhat more expensive (maybe because I took tickets on the day of departure). There is no food, no drinks either. I didn't see any heartbreaking scenes with luggage in calibrators either. Maybe lucky? But they flew out on time, they arrived too. That's the main thing.",https://media-cdn.tripadvisor.com/media/photo-t/10/07/5f/8d/vadimm67.jpg,https://www.tripadvisor.com/Profile/VadimM67,Vadim wrote a review Oct 2022,Vadim,"Murmansk, Russia",24614 contributions,3533 helpful votes,Johannesburg - Cape Town Central,Domestic,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d10661141-r866749237-FlySafair-World.html,South African low-cost airline with bright coloring.,Date of travel: November 2021,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
"Fortunately, our flight was little over an hour as this was an uncomfortable flight. Yes, it's a budget airline but it doesn't compare favourably with the European ones I'm used to flying with",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/eb/e3/default-avatar-2020-59.jpg,https://www.tripadvisor.com/Profile/robnh61,robnh61 wrote a review Oct 2022,robnh61,"Stockport, United Kingdom",1657 contributions,504 helpful votes,Cape Town Central - Port Elizabeth,Domestic,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d10661141-r866030631-FlySafair-World.html,Limited legroom,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_20
"Kindly staff, very good organisation of boarding and enough space between the seats. Iih can everyone
We will definitely fly with this airline again and I would recommend everyone to go..",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/ea/74/default-avatar-2020-68.jpg,https://www.tripadvisor.com/Profile/BixeG,BixeG wrote a review Oct 2022,BixeG,"Greven, Germany",70 contributions,15 helpful votes,Johannesburg - Cape Town Central,Domestic,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d10661141-r866019481-FlySafair-World.html,Perfect organisation of boarding,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"Booked a flight and then changed my flight, the money to change the flight went off mt bank account. Only to find out that my flight wasn't changed. So I not only lost R1700 for the original flight but had to pay another R2800 for a new flight. on top of that their service is non existent. All of the “service” providers aren’t real humans if your problem isn’t an option they give you - you can’t get help.

Luckily had savings. Don’t know what people will do if they don’t. Flysafair you suck!",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e8/24/default-avatar-2020-60.jpg,https://www.tripadvisor.com/Profile/Storm_opperman4,Storm wrote a review Oct 2022,Storm,,1 contribution,,Cape Town Central - Johannesburg,Domestic,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d10661141-r866006027-FlySafair-World.html,Stealing South Africans money!,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"This lot markets itself as a 'low-cost' carrier but since they got rid of the competition their prices have sky rocketed to no limit! It's an utter shame and disgrace that they  choose to rip off south africans who are already cash-strapped post-covid but they're too busy buying new planes, new routes, and painting aircraft with the massive windfall! Guess what? Staff will tell you to vacate an emergency seat (if you did not pay for it) even though the entire row is empty after boarding!",https://media-cdn.tripadvisor.com/media/photo-t/19/22/4f/cb/zack-za1.jpg,https://www.tripadvisor.com/Profile/Zack_za1,Zack D wrote a review Oct 2022,Zack D,"Johannesburg, South Africa",48 contributions,31 helpful votes,Johannesburg - Durban,Domestic,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d10661141-r864454358-FlySafair-World.html,Fleecing south africans in a free for all!,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Stuck In security cues for over an hour, flight leaves without me, Airline couldn’t care less,... pay this pay that we cant gurantee this cant gurantee that. Completely parasitic company.

Needless to say no workable solution was found other than not use their shambled services again.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/ea/74/default-avatar-2020-68.jpg,https://www.tripadvisor.com/Profile/Delph1247483,Delphinus S wrote a review Oct 2022,Delphinus S,,1 contribution,1 helpful vote,Johannesburg - Durban,Domestic,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d10661141-r864062101-FlySafair-World.html,Utter screw up,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Please choose any other airline whether you have to pay more for a ticket. I will never fly with this airline, I will personally make it my goal to discourage anyone I know to fly with them and I will not ever put one of my candidates on this airline ever again. Extremely disgusting Ethics. You should do better.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f2/eb/default-avatar-2020-27.jpg,https://www.tripadvisor.com/Profile/Gigi5055,Gigi wrote a review Oct 2022,Gigi,,1 contribution,1 helpful vote,Johannesburg - Cape Town Central,Domestic,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d10661141-r863044755-FlySafair-World.html,Worse Experience Ever,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Good day. I am writing this email whilst sitting at King Shaka Airport - Durban. Utterly disgraceful and humiliating service from all staff members of FlySafair at boarding gate NAMELY - VALENCIA. This is Mohamed. I was taking the 21:40pm flight from Dur - Jnb (OR TAMBO) and i checked in online 24 hours before. I received my seat number and boarding pass via email and was clearly aware that the boarding gate closes 15 minutes prior which was 21:25pm. I was coming from Umhlanga and there was construction on the road - altought there was major traffic and delays - i knew i checked in online and just had to get to the boarding gate. I arrive inside the airport at 21:20 and i was boarding at gate A14 which was a 30 second run from the security gate. I knew i had a minute or two so i ran along with my sister who was travelling with me and reached in under 30 seconds which means i was there at 21:25 on the dot. Infront of me was the staff named Valencia (an african lady) who was escorting a standby passenger into the boarding gate and i was probably roughly around 2-3 feet behind her. She clearly heard me running yet walked into the gate and shut the door. I pleaded to her that i was right here at 21:25 on the dot and that i was just behind her so why cannot i be let in. She told me they have already taken standby passengers so i informed her how can you take standby passengers when booked passengers like my sister and i - are already here and on top of it all , we are ON TIME / JUST ON TIME. It does not make any sense. She continued to revoke me and i raised my voice because this was the last flight of the night , it was a SUNDAY and i have work the next day in JNB. She used language words on me such as “JWAYELANI” and since i am brought up in KZN , i clearly know the meaning of it and this is disgraceful that safair can have crew of this nature working for them. I wrote my matric final exams 5 years ago and on my final paper i was on the last question and the government examiner noticed this and gave me 2 more minutes to complete my paper. But this is not the case because i was JUST ON TIME. I am stating this because if even i was a minute or 2 late - this is not acceptable that situations cannot be understoof. If i was there 5-10 minutes after gate closed and planes doors are closed - that is a different situation. By taking standby passengers it means they are still processing passenger and that the plane door is still open. How were standby passengers already being processed at 21:25 when the boarding gates just closed and we were there. The only difference was they were taken inside but not us. This is not justifiable at all that i have to miss opening my business and loose my customers of the day because Valencia AND TEAM was so negligent in doing their part and understanding that i am on time and i am here so how can preference be given to a standby customer. A short indian lady from the boarding gate came to explain to me why they not allowing me and that im late took 5-7 minutes to explain and justify herself when she can take 15 seconds and process both my sister and i. This is disgraceful and i had to pay R300 for me and R300 for my sister to be put at a 6:15am flight as a STANDBY. Which means at this point writing this email i do not even know if i will get on the flight and make it on time because i still have to travel 200km from JNB airport to my home in North West. I WANT VIDEO FOOTAGE AND SURVEILLANCE AS I CLEARLY SAW A CAMERA ALL OVER THE PLACE TO BE SEEN THAT I WAS THERE ON TIME WITH MY SISTER. AND ALSO THE LEVEL OF TREATMENT THAT WE WERE GIVEN. If you want to continue being my trusted airline provider , i want a full refund and to be compensated for my loss of income for the day that i will be running arround for standby flights and not have my business opened due to lack of mentality of staff of FlySafair. This is non-negotiable and i will take this further up if necessary. This is a money making scheme as those people have now paid for our seats and you made douboe the money. And to top it all you charge is R300 for nothing. We are only forced to pay because this matter cannot be handled in-house and needs to be taken up via email. And we need to get home. I trust we can come to an understanding and that flysafair can understand and view evidence as evidence is clearly available as to what time we arrived at the gate. I will not let this matter rest. I look forward to an urgent response from the team of FlySafair.

Regards,
Mohamed - 067 868 3175
Flight information: 8AEMT9 - DURBAN TO OR TAMBO JOHANNESBURG - 21:50pm departure and 2 passengers.

NEW UPDATE: 96 hours (4 days) - no response from flysafair help email.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/eb/a3/default-avatar-2020-38.jpg,https://www.tripadvisor.com/Profile/furqanmoosa,Mohamed Furqan Moosa wrote a review Sep 2022,Mohamed Furqan Moosa,,1 contribution,1 helpful vote,Durban - Johannesburg,Domestic,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d10661141-r862509338-FlySafair-World.html,Disgusting Service. humiliating Service,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
I left my shirt on the plane to Durban and was able to collect it from the lost and found the following day at the airport. My iphone headset was still in the pocket as well. I tried to thank the person who found it and turned it in but no luck. Hopefully they read this review. Thank you.,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e9/60/default-avatar-2020-64.jpg,https://www.tripadvisor.com/Profile/CharlesMHenderson,Charles wrote a review Sep 2022,Charles,,1 contribution,,Johannesburg - Durban,Domestic,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d10661141-r862439145-FlySafair-World.html,Lost and Found Worked,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
