Title,Image,Avatar_URL,crvsd,ui_header_link,default,phmbo,phmbo1,dmrsr,dmrsr2,dmrsr3,qwuub_URL,qwuub,tehyy,xcjrc,Rating
". They cancelled the flight, not my fault. I’ve been calling for the last 2 years and sending emails, asking for a refund. Nobody ever got back to me. A robbery",https://media-cdn.tripadvisor.com/media/photo-t/03/3d/8e/a2/delia-f.jpg,https://www.tripadvisor.com/Profile/deliaf956,D F wrote a review Nov 21,D F,"London, England, United Kingdom",6 contributions,2 helpful votes,London - Banjul,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729136-r869269567-Royal_Air_Maroc-World.html,They cancelled the flight 2 years ago and never refunded,Date of travel: December 2021,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"I traveled here in August of 2019. I would typically fly every year of my 26 years of life to visit. This time, they lost ONLY my luggage out of 6 other bags (which happened to have a lot of new and expensive gifts for family members). I was stuck in morocco for 3 weeks wearing my brothers clothing and had to buy clothing for myself. (Which they never reimbursed me for). After a lot of time going back and forth to get them to acknowledge my lost luggage, agreeing to only pay $400 USD (well over 2k in my luggage). They have actually been completely ignoring all of my emails for the last 2 years. I am finally going to take them to small claims court and get my tiny $400. For me, it is the fact that they have been blatantly ignoring me, thinking that I will get tired of emailing and just forget about it so they dont have to pay me. Nope. See you in court! NEVER bring any checked luggage with anything of value on your flight unless you want it to disappear.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f2/eb/default-avatar-2020-27.jpg,https://www.tripadvisor.com/Profile/sarahtT1024OP,Sarah T wrote a review Nov 20,Sarah T,,2 contributions,,New York City - Marrakech,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729136-r869133304-Royal_Air_Maroc-World.html,Terrible,Date of travel: December 2021,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"I am so disappointed in the service I have received from Royal Air Maroc. They cancelled mine and 3 of my friends' flights from Malaga to Marrakech in March 2020. Despite having to chase them at least once a week we are yet to receive a refund of our plane fares as we have been promised for the past two years. The customer service whilst polite is unacceptable as all they do is send an email to their accounts team and nothing gets done. I have had no explanations as to why my funds have not been returned, it seems as if they are waiting for me to get bored and forget about the refund. When you are due over 600 euros it is just not going to happen. I would definitely not book a flight with this airline again, other airlines are much more responsive and helpful and don't try and retain funds that are not theirs to keep.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f0/9f/default-avatar-2020-16.jpg,https://www.tripadvisor.com/Profile/kellypF2274YO,Kelly P wrote a review Nov 15,Kelly P,,1 contribution,1 helpful vote,Malaga - Marrakech,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729136-r868553398-Royal_Air_Maroc-World.html,Failure to provide a refund due to cancelled flight,Date of travel: December 2021,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"the dishonesty started in Cairo airport when the desk employee changed our flights connection to a different date and flight that included lay overnight in JFK without any notice or consent of us...
we found our self in JFK at night with no customer service presenting or any info about our next connected flight to Tampa that we discovered then that the connecting flight is next day afternoon! No advanced info, no voucher for the hotel to spend the over night...",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/eb/43/default-avatar-2020-11.jpg,https://www.tripadvisor.com/Profile/931adeln,Adel N wrote a review Nov 15,Adel N,,2 contributions,1 helpful vote,Cairo - Tampa,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729136-r868551102-Royal_Air_Maroc-World.html,Not honest and decisive service and information.,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"My 1st flight sat on the tarmac for 50 mins, so I missed my connecting flight and had to wait in Casablanca for 24 hours. The agent at the gate took my passport and gave it back to the wrong person. I lost my passport for 3 hours. The agent at baggage service yelled at me because she didn’t want to do her job and retrieve my bags that were practically sitting in front of the room. I had to pull my bags out or else I don’t have any clothes and toiletries. I asked for her name or employee id #, so I could file a complaint. She refused and kept yelling at me even louder. Horrendous attitudes for someone working in customer service. Then they lost one of my 3 checked bags. All this in one trip. I missed an event of which I was the host and got in troubles at work because of this delay. Also no wifi onboard (not even paid wifi). No apologies from them so far. No compensation whatsoever. I’m a frequent flyer (15+ international  flights a year). I’ll never fly with them again and strongly recommend others not to. That was the first and the last. Minus -10 stars if this website allows. Stay away if you want peace of mind while traveling internationally.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/ef/73/default-avatar-2020-13.jpg,https://www.tripadvisor.com/Profile/raksakk2022,Raksak K wrote a review Nov 14,Raksak K,,3 contributions,,Madrid - New York City,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729136-r868516593-Royal_Air_Maroc-World.html,Worst flight experience ever,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"I flied back and forth to Cairo in October and november 2022.  I was impressed by the quality of the flights.  On time,  service is the best I ever had on flights.  The  planes are new,clean and comfortable.  The attendants kind and helpful. The food is good.  They give cushion, cover and earphones.  And the best is that when you have a long connection, they offer you a room in hotel and all meals for free.  We had a connection of  13 hours in Casablanca.  They gave us rooms in hotel and lunch and dinner with free shuttle. We really appreciated.  And the best thing is that we paid a lot less than with other companies.  Really impressed.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e3/6a/default-avatar-2020-47.jpg,https://www.tripadvisor.com/Profile/nefertiti2,nefertiti2 wrote a review Nov 11,nefertiti2,montreal,56 contributions,23 helpful votes,Montreal - Cairo,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729136-r868058650-Royal_Air_Maroc-World.html,Best company to travel,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"I booked our flights and THEN read all these terrible reviews, and I must say, I was petrified but our experience was not so bad. I will list Pros and Cons but first a few disclaimers: we did NOT check any luggage, so I cannot verify for this aspect, and we did NOT eat any of the meals, as we got to the airport super early and decided to pay for a lounge at the airport. I highly recommend this! Most airports have the option to buy in to the lounge for about $50/person if you're not a member already, and it's worth it. All the food and drinks you want, relaxing atmosphere and even showers. So we weren't hungry for the flight and it was a great start to vacation.

Pros:
This airline is the only one that offers a quick flight to Marrakech. All of our friends had insanely long layovers in Paris or Madrid from the States, and we flew directly to Casablanca with a 1 hour layover and easily made it to our 50 min. flight to RAK. This alone made the airline worth it.
All of our flights (JFK-Casablanca-Marrakech and reverse) left on time or within 15 mins.
The airplane was NOT filthy as other reviewers emphasized. I brought wipes just in case but did not use them.
The flight attendants were friendly enough. I've had way ruder on Lufthansa and Delta.
Our request for bulkhead or exit row when we checked in at the airport was accommodated each time. And thank goodness because.....

Cons
The seats are UNBELIEVABLY narrow. My husband is 6'5 and built like a linebacker and no way could he have sat in any other row. I was in the middle seat in our exit row and his arm was in my lap, as was the stranger in the aisle seat. I had 2 men leaning on me the whole time. There will always be a middle seat on these planes. You will have people touching you. I am 5'4 and 120 and I barely fit. BOOK THE EXIT ROW.
The bathrooms close to us ran out of toilet paper about 5 hours into a 7 hour flight. Both directions.
There is not a lot of service. I got up to go back and ask for water and the flight attendant told me ""It's coming"" only to wait an hour. Bring your own drinks for sure.
The other passengers were stressed out boarding and debarking, freaking out about connections, etc. I think this is just passengers flying these days however. The attendants basically ignored them, but I wish they would command more order and calm during these times.

So to wrap up, upgrade to first class if you're large or paranoid about touching others, but ABSOLUTELY get an exit row or the bulkhead. It will make all the difference. Bring your own water. Pack lightly so you're not stressed out (you don't need a lot in Morroco anyway...it's hot and just handwash your clothes)
The almost direct flight alone is good enough reason that I'd definitely book with them again.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f0/d5/default-avatar-2020-17.jpg,https://www.tripadvisor.com/Profile/DaisyTX123,Daisy T. wrote a review Nov 9,Daisy T.,,8 contributions,,New York City - Marrakech,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729136-r867845935-Royal_Air_Maroc-World.html,Not as terrible as these reviews!,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_30
"We were flying from Marrakech to Cairo through Casablanca on Royal Air Maroc (RAM). I read enough bad reviews of the airline to consider driving from Marrakech to Casablanca, just to avoid any problems with the first leg of the flight. But given that we had a 3-hour layover in Casablanca, I figured that we could tolerate a delay on the first leg.

Silly me. The flight to Casablanca was delayed about 3 hours, resulting in us missing the flight to Cairo. RAM rebooked us on a flight about 10 hours later, an overnight flight rather than the daytime flight that we were supposed to be on. We therefore missed (forfeited) a nonrefundable night in a nice hotel in Cairo at a cost of over $500 for two rooms. Furthermore, RAM didn't put out luggage on that flight, even though they had 10 hours to do so. We were in Cairo for one day then flew to Luxor for the next two. They wouldn't deliver the luggage to Luxor so we didn't get it until returning to Cairo. That's four days wearing the same clothes. Then it took 2-3 hours in the Cairo airport with Egyptair Baggage Services to get our luggage, just so we could have it for the last half day before returning to the US.

Avoid this airline. I'm sure that things go well most of the time, but they can go very badly more often than with most other airlines.",https://media-cdn.tripadvisor.com/media/photo-t/24/62/0c/3b/jrkey.jpg,https://www.tripadvisor.com/Profile/jrkey,jrkey wrote a review Nov 1,jrkey,"Middleton, Wisconsin",27 contributions,16 helpful votes,Marrakech - Cairo,North Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729136-r866856990-Royal_Air_Maroc-World.html,"Delayed flight, missed connection, and no luggage for 4 days",Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_20
I have been a few times flying with RAM...mainly because they are one of the few airlines that fly direct to casa... every journey gets more farcical...this time around was the dreadful service at casa on the way to marakech... bearing in mind my seat had broken before take off in the UK and the area where I was sitting smelt oddly of cigarettes!! Anyway we landed after a delay and literally had to RUN through Casa airport to get our connecting flight...yes another RAM flight... unfortunately this was all relayed in Arabic... so only half the flight knew what was happening. Not even in  French Luckily I was with my daughters family so they knew what was happening ...I managed to get to Marrakech. But it was basically an awful few flights. It always feels like the planes are going to break in two aswell,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f4/d0/default-avatar-2020-33.jpg,https://www.tripadvisor.com/Profile/helenastar,helenastar wrote a review Oct 2022,helenastar,"London, United Kingdom",9 contributions,7 helpful votes,London - Casablanca,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729136-r866218208-Royal_Air_Maroc-World.html,Shame I can't understand Arabic,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Strengths:
-Usually you get a layover in Casablanca, and if you do, stay in Four Seasons. It will change your life.
-If business class isn't filled up, they charge ~$750 for upgrade to biz class, but you can only do it within 24 hours. Thats an amazing price compared to other airlines who charge thousands

Weaknesses:
-Their computer system isn't connected with their telephone customer service representatives. Usually you have to call an agent over and over to get the right answer. These people aren't trained properly, not to mention the constant static when trying to speak with someone.
-An agent will say biz class is full, but if go online it will say it is available -- and it usually is available
-My wife and I tried purchasing biz class (last minute). My wife got upgraded and even though I paid for my upgrade, for some reason it didn't go through. I asked agents at the ticket counter but they kept telling me it was full. Half of my family was flying business class. They told me they saw 6 empty biz class seats. What is 6X750? $4500. Now extrapolate that to the nth degree for all flights under RAM. Thats how much money RAM is losing daily because of their ineffective and inefficient systems.

Bottom Line... Will I continue to fly RAM?

Sadly... yes. The flight isn't bad. Some of the comments below are a little exaggerating. But at the end of the day, if I can pay $750 for an upgrade to biz class, compared to the thousands I would have to pay at United, its worth the gamble for me.",https://media-cdn.tripadvisor.com/media/photo-o/0a/00/dd/40/omar-f.jpg,https://www.tripadvisor.com/Profile/724omarf,Omar F wrote a review Oct 2022,Omar F,,28 contributions,31 helpful votes,Casablanca - Washington DC,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729136-r865943191-Royal_Air_Maroc-World.html,Very unorganized,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_20
