Title,Image,Avatar_URL,crvsd,ui_header_link,default,phmbo,phmbo1,dmrsr,dmrsr2,dmrsr3,qwuub_URL,qwuub,tehyy,xcjrc,Rating
I won't recommend this airline due to being disorganised. They changed flight times about 5 times and on the final the flight was delayed after changing the flight date also.,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/ee/db/default-avatar-2020-10.jpg,https://www.tripadvisor.com/Profile/W3727YVsimonm,simon m wrote a review Nov 2022,simon m,,3 contributions,1 helpful vote,Harare - London,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729140-r869778319-RwandAir-World.html,Mr,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_20
"I was supposed to fly from Malawi to Rwanda (Kigali) on Monday 21 November, and I had to fly from Blantyre to Lilongwe (Malawi), Harare, Lusaka to be able to catch the plane to Kigali with Rwandair. I went through this hassle because then at least I could arrive in the evening (21.30h) and have a normal night rest. I paid around 300 euro extra for that purpose.
When I arrived in Lusaka, they informed me that my flight to Kigali was cancelled. I ended up travelling via Addis, to arrive 00.45h in Kigali, arriving around 02.00 at my guesthouse.
I am very dissappointed that I wasn't informed in time, so I could have been flying Blantyre, Addis, Kigali. I complained at the customer service. They apologised and were friendly, and gave me an email address to claim back my extra costs. Let's see if that is going to work.
Currently i am awaiting a Rwandair flight from Kigali to Kamembe (west Rwanda), supposed to be flying at 07.00h. Because of problems with their aircrafts we have to wait for an aircraft to arrive from Kenya (supposed to arrive at 5.45am, but scheduled to arrive at 09.09am). I was planning to facilitate a workshop today. This is going to start late.
They told me this is a temporary problem, and should be sorted once their aircrafts are repaired. What about hiring another aircraft in the meantime?
I had a positive experience with Rwandair in the past, so let's hope they get back on their feet.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e8/91/default-avatar-2020-62.jpg,https://www.tripadvisor.com/Profile/ditteked,Ditteke d wrote a review Nov 2022,Ditteke d,"Blantyre, Malawi",5 contributions,1 helpful vote,Blantyre - Kigali,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729140-r869419973-RwandAir-World.html,Poor communication,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_20
"Had a flight at 5pm, then the plane didn't arrive, then scheduled at 3am! Then delayed to 5am, still sitting on the tarmac at 7am. Through all this, the airline did not once communicate in advance with passengers to limit the inconvenience, to avoid people arriving at the communication is poor.

Very unprofessional. Avoid!",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/de/5a/default-avatar-2020-36.jpg,https://www.tripadvisor.com/Profile/Dillypip,Matt wrote a review Nov 2022,Matt,,2 contributions,,Johannesburg - Kigali,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729140-r869302989-RwandAir-World.html,An airline that doesn't communicate,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"This airline was late on two occasions, when I was travelling to Kenya and returning. They changed my ticket over 3 times during my stay in Kenya and have delayed it server also times. The airbus also smells terrible on the inside, seats are garbage and they need to refund me for the tickets they changed multiple times. I would absolutely NOT recommend flying this airline if you’re going to Africa. Stick with either Kenyan airways or Ethiopia air.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e5/2b/default-avatar-2020-52.jpg,https://www.tripadvisor.com/Profile/Annietravels912,Hana wrote a review Nov 2022,Hana,,2 contributions,1 helpful vote,Nairobi - London,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729140-r868979181-RwandAir-World.html,Terrible airline - stay away,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Customer service is poor - no sense of urgency and the responses are neither transparent nor fully informative. I canceled a reservation within 24 hours of payment. To my horror, I discovered the customer call centre they have is in Kigali. This number was not in use! I managed to get email addresses to contact from their office at CPT airport and their official twitter account. However, the responses to my email requests for a refund were lethargic and not transparent. It has now been 3 days and all I know is that the tickets I bought were non refundable. and that only airport taxes are refundable. I was not given information as to how to start this process. My booking references are non existent and I am stuck in limbo not knowing the options available to me at this time. You will note that their ticket price does not include a breakdown of these costs and this complicates matters. So their twitter page advised me to wait for the breakdown. I have also been informed that I will be penalised for rescheduling. If you want value for your money, use other airlines. A friend of mine got her money back after canceling Airlink flight 48 hours after booking minus all these hassles I have been through. Besides that, their flights have been delayed on some trips i have taken with them and their engine is noisy especially if u sit at the back.
In summary, Rwandair is not value for money and Airlink is cheaper and hassle free for those doing the CPT-HRE route.
""",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/ed/7b/default-avatar-2020-6.jpg,https://www.tripadvisor.com/Profile/DanieM64,Danie M wrote a review Nov 2022,Danie M,,2 contributions,3 helpful votes,Cape Town Central - Harare,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729140-r868655048-RwandAir-World.html,Terrible customer care,Date of travel: August 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_20
"I have called them over 100 times, and I sent them over 120 emails not a single reply back from them. They cancelled our trip without any Hesitation - they stoled 1,870 $$ USD from us, now I have to rebook another flight with a different airline. This Airline needs to be shut down and out of business completely, they are stealing from customers, I have reached out to refund department no reply…I just can’t believe this. I will never fly with any African airlines, RwandAir is F***King trash. They have no customer service at all whatsoever, they are scamming people out of their hard earned money. F***k Rwanda Air, and I hope they read this review. If I can give them negative 1 billion rating  I will. I do not recommend a soul to fly with this airline. If you booked them for trip good luck, they are absolutely trash.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f2/11/default-avatar-2020-23.jpg,https://www.tripadvisor.com/Profile/lassanahg,Lassanah G wrote a review Nov 2022,Lassanah G,,1 contribution,3 helpful votes,Harare - Seattle,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729140-r868303343-RwandAir-World.html,This Airline Stoled my money,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"I booked my ticket for 13th November from Harare to Nairobi for me and my 4 yrs old daughter ,the airline has changed my flight to 15th November without my consent with layover of 10 hrs,my initial booking was with a layover of 3hrs.
They haven’t reached out to me on how I will manage a long layover with a baby.
Calls are not answered, emails are not responded to.This is bad experience ever.
I don’t think I will ever take Rwandair or recommend to anyone,they don’t have a sense of humor.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e7/3d/default-avatar-2020-55.jpg,https://www.tripadvisor.com/Profile/beverlynek2022,Beverlyne K wrote a review Nov 2022,Beverlyne K,,1 contribution,3 helpful votes,Harare - Nairobi,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729140-r867902355-RwandAir-World.html,Very bad customer service,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"I was disappointed as I could not book my seat online. I did order a seafood meal, but did not get one. There were no bottles of water, only plastic cups. We were not offered drinks during stopovers in Lusaka and Brussels.
The earplugs were not great, and did not fit properly in the ear. Seats did not recline. Meals were tiny. Kigali terminal was small, no seats to sit, no shops in the departures. Incorrect information given over the speakers for flights.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e7/3d/default-avatar-2020-55.jpg,https://www.tripadvisor.com/Profile/247LiveLife,247LiveLife wrote a review Oct 2022,247LiveLife,South Africa,1080 contributions,339 helpful votes,Johannesburg - London,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729140-r866731811-RwandAir-World.html,Not the greatest,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_30
"Lusaka to Kigali 12 October 2022. Few days before departure I contacted the airline’s office in Lusaka as the flight appeared not to be to sold anymore and hardly could be full. They answered back within 1 hour and gave detailed confirmed, entire itinerary (incl. coming flights). Check-in counters opened pleasantly early, 3½  hour prior departure, so no queues or waiting time. The man at counter advised on seating and showed me configuration and options on his computer. We selected the best options, though I was later further upgraded onboard to have the most spacious seat in economy. Security, health documentation, immigration took less than 10 Minutes. Their partnership with Qatar rendered me access to Pearl lounge in the terminal. There was some discussion whether I was qualified, but in 5 Minutes after some photocopying, they let me in. The lounge is 3rd party, and acceptable with Wi-fi, hot foods, wines and cold beers. Onboard, my preordered special meal though I had to remind them, and it took some time to avail it. Drinks and customer care onboard was very pleasant, nothing was too much, but it took a lot of time as the FAs discussed and recommended drinks to almost every passenger. IFE was only a flight monitor, but the music channels offered a lot. Had to use own headphones. No WiFi, old aircraft, but well maintained. Good announcements from pilots. Noisy aircraft, this B737-800. Flight on time, we arrived 15 Minutes earlier than scheduled. Luggage arrived before I even passed immigration. DreamMiles to their FFP was given me after just 1 day after landing. Recommended.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/ed/7b/default-avatar-2020-6.jpg,https://www.tripadvisor.com/Profile/andersp536,Anders P wrote a review Oct 2022,Anders P,,40 contributions,25 helpful votes,Lusaka - Kigali,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729140-r864356496-RwandAir-World.html,Pleasant flight,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
"Pros staff are polite and nice.
Some times the food is good at times terrible not consistent
Smoking booth in lounge if connecting through Kigali
Cheaper than most airlines to east and Southern Africa

Cons
-Always late take off and taxi.
-Your luggage will be battered mangled and destroyed.They managed to destroy two of my bags despite being wrapped.
-Had a roach climbing me whilst on the flight
-Might take you 3 hours to collect your luggage at T3 Heathrow. Not great after a 17 hour flight.
-No visible representative at T3 Heathrow airport baggage claim.
-Flight times do change a lot especially for those with advance tickets.
- issues with toilets as they are usually messed up during the flight
- exit door food trays are worn cracked and broken

In conclusion if you are not flying first class avoid this airline.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f2/eb/default-avatar-2020-27.jpg,https://www.tripadvisor.com/Profile/H4041KXfrankm,Frank M wrote a review Sep 2022,Frank M,"Croydon, United Kingdom",3 contributions,,Entebbe - London,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729140-r861798270-RwandAir-World.html,Russian roulette. Always hit and miss with this airline,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_20
