Title,Image,Avatar_URL,crvsd,ui_header_link,default,phmbo,phmbo1,dmrsr,dmrsr2,dmrsr3,qwuub_URL,qwuub,tehyy,xcjrc,Rating
"They owe just two flights and keep on cancelling the flights.
I had to reschedule my itinerary twice before finally cancelling my flight for third time.
Avoid travel",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e4/2d/default-avatar-2020-48.jpg,https://www.tripadvisor.com/Profile/Mamtavirar,Jimmy Dias wrote a review Nov 2022,Jimmy Dias,"Virar, India",9 contributions,,Mumbai - Johannesburg,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729012-r869744524-Air_Seychelles-World.html,Never Book,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
The service I received from the airhostess Sharifa J. was excellent. My flight was very comfortable thanks to her. Would definitely recommend the airline.,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f3/23/default-avatar-2020-28.jpg,https://www.tripadvisor.com/Profile/896ddp,Dianne wrote a review Nov 2022,Dianne,,2 contributions,,Johannesburg - Victoria,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729012-r869334702-Air_Seychelles-World.html,Great Service. Excellent Hostess.,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
Flight was delayed but Hillairy our flight attendant was most helpful and hospitable. I spent a memorable and comfortable flight thanks to her. I would love to travel Air Seychelles again and would recommend it to all my friends and family.,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e5/2b/default-avatar-2020-52.jpg,https://www.tripadvisor.com/Profile/Imraan1978,Imraan T wrote a review Oct 2022,Imraan T,,1 contribution,,Victoria - Mahebourg,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729012-r866622208-Air_Seychelles-World.html,Mr,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
"I am already booked for economic on may 23 for Johannesburg.
I have done the further bookings a per my schedule.
Requesting you to kindly stop rescheduling the flights which has already cost me to reschedule my further itinary..
Thanks.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e4/2d/default-avatar-2020-48.jpg,https://www.tripadvisor.com/Profile/Mamtavirar,Jimmy Dias wrote a review Oct 2022,Jimmy Dias,"Virar, India",9 contributions,,Mumbai - Johannesburg,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729012-r866366654-Air_Seychelles-World.html,Keeps on changing schedule,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"The food on the aircraft was trash and I sat in row 16 and all the chicken was gone. The flight was 2hours late from Mahe, just rubbish service, will will Never fly them again",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e2/4a/default-avatar-2020-42.jpg,https://www.tripadvisor.com/Profile/Xtupie1962,Martin wrote a review Oct 2022,Martin,,2 contributions,,Johannesburg - Victoria,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729012-r865269690-Air_Seychelles-World.html,What pathetic service,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"The aviation experience was exceptional. The check-in process was very smooth and baggage claim was guaranteed. For a first timer, on national airline for an international experience , I was well overjoyed by the gentle experience of flight. Upon landing on Mauritius, the very smooth decline enabled us to admire the beauty of landscape of Mauritius Island. Had a  best window seat. Was very impressed by the strict hygiene conditions in the midst of Covid 19, where disinfectant or repellants were sprayed to ensure sterile conditions. The quality of hygiene was on the standard. Moreover, the cabin crew were very helpful and inviting on the plane. Proud to carry our national pride, Air Seychelles! Keep up the brilliance!",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f1/42/default-avatar-2020-20.jpg,https://www.tripadvisor.com/Profile/leroyv739,Leroy V wrote a review Oct 2022,Leroy V,,1 contribution,,Victoria - Mahebourg,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729012-r865245936-Air_Seychelles-World.html,Great Flight Experience,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
I'm trying to book tickets online - what a headache.  The website is glitchy - won't accept payment & when I contacted the office directly - the ticket prices jump up by a couple of hundred dollars.  The ground staff can't honour the online price I wanted to pay - so we are off to an expensive start.... :(,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/de/0a/default-avatar-2020-35.jpg,https://www.tripadvisor.com/Profile/MelanyB47,Melany B wrote a review Oct 2022,Melany B,,1 contribution,,Cape Town Central - Victoria,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729012-r865148611-Air_Seychelles-World.html,Booking online - Nightmare,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_30
"I have been compelled to join TripAdvisor just to write this review. To give some background, this flight only had 8 passengers and was travelling from Seychelles to Male, Maldives - a 3 hour flight duration.

Around 45 minutes into my flight I pressed the service button to ask for some water. After 25 minutes of waiting I walked to the back of the plane in search of water to find 2 cabin crew covered up with blankets ASLEEP ( see photos). There were no other crew present in the economy cabin for the duration of the flight. I could freely wander the cabin, access doors etc with zero supervision at the rear of the aircraft.

With 1 hour remaining the sleeping crew woke up and went to the empty business class cabin, closed the curtains and enjoyed breakfast with the rest of their colleagues. I peered through the curtains in disbelief. When I saw they were eating a croissant in addition to their continental breakfast I asked if I could have one for my son. I was told they were for the captain only and the cabin crew had taken a few of his stash.

Air Seychelles left a lot to be desired, awful service and unsafe experience.

DO NOT FLY AIR SEYCHELLES IT IS UNSAFE.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f6/0d/default-avatar-2020-34.jpg,https://www.tripadvisor.com/Profile/B7419KHhollys,Holly S wrote a review Oct 2022,Holly S,"Manchester, United Kingdom",3 contributions,1 helpful vote,Victoria - Male,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729012-r864188083-Air_Seychelles-World.html,WORST AIRLINE EXPERIENCE- UNSAFE,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"I would strongly advise anyone traveling to the Seychelles to avoid this airline. We booked flights for our honeymoon more than four months in advance, and were shocked to discover that Air Seychelles changed our flight time at the last minute by 10 hours, without notifying us directly. The first ""notice"" they gave us of the change was a generic ""Flight Reminder"" email four days before the trip, which did not explicitly note the time change. There was no text message or separate email noting the change, and by then it was too late to change our plans.

We've been struggling to get a refund from the airline, and they seem to have no interest in acknowledging or correcting their mistake. I've never had another airline change a flight time by so much -- from evening to morning -- without explicitly notifying passengers.

For travel to the Seychelles, I'd strongly recommend taking Emirates instead. We were forced to buy last-minute tickets at the airport, but they were incredibly helpful and kind in dealing with an unpleasant travel interruption.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e3/6a/default-avatar-2020-47.jpg,https://www.tripadvisor.com/Profile/harrisons398,Harrison S wrote a review Sep 2022,Harrison S,,1 contribution,,Johannesburg - Victoria,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729012-r862322321-Air_Seychelles-World.html,Horrific service from an airline that doesn't seem to care about its passengers,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"I flew on Air Seychelles business class today and I received the most friendliest service from the Air Seychelles team. Especially from Hilary and Mike in Business, their friendly smile and lovely spirit makes it a real pleasure to always fly Air Seychelles 👏. Captain Young and his First Officer Russel were really great and made it a pleasant flight indeed. Keep up the amazing service, Very proud! 🎉",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e8/ea/default-avatar-2020-63.jpg,https://www.tripadvisor.com/Profile/508aubreyl,Aubrey L wrote a review Sep 2022,Aubrey L,"Victoria, Seychelles",9 contributions,1 helpful vote,Victoria - Johannesburg,Africa,Business Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729012-r861519935-Air_Seychelles-World.html,Amazing service from a very warm Air Seychelles Team!,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
