Title,Image,Avatar_URL,crvsd,ui_header_link,default,phmbo,phmbo1,dmrsr,dmrsr2,dmrsr3,qwuub_URL,qwuub,tehyy,xcjrc,Rating
This is the worst airline you can ever take!!! Don’t do it unless if you want to be disappointed. Very poor service and very unprofessional.,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f3/23/default-avatar-2020-28.jpg,https://www.tripadvisor.com/Profile/58yuliad,Yulia D wrote a review Nov 21,Yulia D,,1 contribution,,Johannesburg - Harare,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729155-r869302032-South_African_Airways-World.html,Worst airline in SA,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"My husband and I were flying first on our honeymoon and the Flight attendant ordered me to move to another seat to accommodate a straight couple and their kids. I politely explained we were on our honeymoon and she didn’t care. She said, “no, I need you to move.” They didn’t even ask. She just forced us to separate. It was rude and felt targeted. And the straight family didn’t care at all. The whole thing was really hurtful and frustrating. I would not recommend that LGBTQ travels fly this airline.",https://media-cdn.tripadvisor.com/media/photo-t/0d/53/82/a9/andrew-s.jpg,https://www.tripadvisor.com/Profile/AndyCali74,AJS wrote a review Oct 2022,AJS,"Los Angeles, California",343 contributions,207 helpful votes,Johannesburg - Mahebourg,Africa,Business Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729155-r865858383-South_African_Airways-World.html,Terrible service and homophobic,Date of travel: April 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
it started with boarding when my collectable Snap-On nail clipper was confiscated. I was embarrassed and made a spectacle of when the stewardess couldn't find a plastic spoon and cup. I was physically searched and my cabin bag was also searched without success. That was reported to the airline and they showed no care or response. Their service was terrible aside from my incident and you can never get their attention when required. The conduct was condoned by the head of the crew. It was a joke and they all laughed at my embarrassment and shame.  A bigotted airline That I now avoid at all costs.,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e9/60/default-avatar-2020-64.jpg,https://www.tripadvisor.com/Profile/DarinS96,Darin S wrote a review Oct 2022,Darin S,"Liston, Australia",1 contribution,,Durban - Sydney,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729155-r864978241-South_African_Airways-World.html,Air Stewardess from Hell,Date of travel: November 2021,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
Received outstanding service/food from SAA 190 on 11 Sept from Ms Boipelo Segopa and Diana Nicodemus. We so enjoyed that SAA Flight. Best meals (lamb and chicken) ever tasted on any flight,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/7c/01/default-avatar-2020-5.jpg,https://www.tripadvisor.com/Profile/jt1854,jt1854 wrote a review Sep 2022,jt1854,"Johannesburg, South Africa",5 contributions,5 helpful votes,Johannesburg - Mahebourg,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729155-r862040446-South_African_Airways-World.html,"Unbelievable flight, food and attendants",Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"I booked an economy flight from Cape Town to Johannesburg.

When we boarded the plane, the staff noticed that a family, with two small children, had not booked seats for the children.

As they were going to sit near me, a flight attendant asked if I would be willing to give my seat to one of the children.

I agreed, and after seated the same flight attendant asked again if I was willing to move. I said I was happy to do so to help the family, and then they moved me to business class!

I was impressed with their concern for the family’s comfort & travelling experience.

And appreciated their generous gesture of moving me to business class.

During the flight the where attentive, friendly and helpful. Overall, I had a great experience flying with SAA and will definitely consider booking with them again in the future.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e3/6a/default-avatar-2020-47.jpg,https://www.tripadvisor.com/Profile/Healwithyoga,Jeanne Miriam Kirsten wrote a review Aug 2022,Jeanne Miriam Kirsten,,1 contribution,,Cape Town Central - Johannesburg,Domestic,Business Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729155-r854254694-South_African_Airways-World.html,Exceptional service from SAA staff,Date of travel: August 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
"I traveled on SA 52 from Accra to Maputo via Johannesburg on the 30th of July. I got to my hotel in Maputo on the 31st July and noticed my bag which I checked in has been vandalized in pix 1 &2. As if that was not enough, my bag was again cut this time with a sharp object on my return flight SA62 through J’burg to Lusaka on the 6th of August. See third pic below(3). Sadly my complaint through my travel agent- FCM, Kenya to South African Airways hasn’t been acknowledged let alone attended to. While I had a nice in-flight experience, the ground crew have left me with a bitter experience. I’ll avoid flying SAA in future.",https://media-cdn.tripadvisor.com/media/photo-t/1b/41/27/a9/q5357faandrewa.jpg,https://www.tripadvisor.com/Profile/Q5357FAandrewa,Andrew AHIAKU wrote a review Aug 2022,Andrew AHIAKU,"Nairobi, Kenya",1 contribution,1 helpful vote,Accra - Maputo,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729155-r852966992-South_African_Airways-World.html,My Nightmare- my damaged bag,Date of travel: August 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
SAA lost my luggage  3rd July leaving from Harare. Apparently it was never put on the flight in Harare. Their customer service has been very bad and I am still waiting 3 weeks on for my luggage. Appalling service.,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f0/d5/default-avatar-2020-17.jpg,https://www.tripadvisor.com/Profile/fionadM6152YS,Fiona D wrote a review Jul 2022,Fiona D,,3 contributions,1 helpful vote,Harare - Johannesburg,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729155-r848931379-South_African_Airways-World.html,Terrible customer service,Date of travel: July 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Airlink lost my luggage between connecting flight from Harare to Cape Town
OR Tambo had a blackout and chaos!!!!! Can't get hold of anyone to help me find my suitcase????? 4Z903. Poor pity!!!!!!!??",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f0/d5/default-avatar-2020-17.jpg,https://www.tripadvisor.com/Profile/dollal2022,Dolla L wrote a review Jun 2022,Dolla L,,1 contribution,,Harare - Cape Town Central,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729155-r843341848-South_African_Airways-World.html,Mr Etienne Louw,Date of travel: June 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Wish my partner had read SAA's reviews before making a booking with them last November 2021. Bookings had to be cancelled due to COVID 19 travel restrictions and quarantine.

Request for refund submitted online was never acknowledged. After walking into the Harare offices and complaining about lack of communication and failure to action request, I then got the Manager's email address (Winnie) who to my surprise doesn't respond to emails either!! What a shambolic system.....disgusting service to say the least. How can the office subordinates provide valued service if the Manager cant be bothered to respond to an email, a task that doesn't require more than 5 minutes of her ""precious"" time

This is an airline which one should take extreme caution if they are brave enough to give them their business. Unfortunately there's no option to give a negative score.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e2/a7/default-avatar-2020-44.jpg,https://www.tripadvisor.com/Profile/642garis,G S wrote a review May 2022,G S,,1 contribution,,Harare - Johannesburg,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729155-r839456809-South_African_Airways-World.html,Worst Customer Service,Date of travel: November 2021,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"I had a good flight with SA, their short haul much better than EU and US carriers. Choice off two warm meals, luggage included and flights were on time. Recommended.",https://media-cdn.tripadvisor.com/media/photo-t/13/1c/21/69/yannis412.jpg,https://www.tripadvisor.com/Profile/Yannis412,Yannis412 wrote a review Apr 2022,Yannis412,"New York City, New York",65 contributions,59 helpful votes,Cape Town Central - Johannesburg,Domestic,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729155-r835650690-South_African_Airways-World.html,Good flight,Date of travel: April 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
